24-Jul-17,Monday,
Hours,Price [EUR/MWh],Volume [MWh]
0.5,39.65,"18,369.60"
1.5,35.62,"19,202.20"
2.5,32.7,"19,231.60"
3.5,31.28,"20,000.70"
4.5,30.46,"20,142.60"
5.5,33.24,"20,035.40"
6.5,41.9,"20,201.20"
7.5,44.18,"21,679.80"
8.5,44.12,"24,726.10"
9.5,48.23,"25,897.40"
10.5,48.45,"26,547.60"
11.5,47.77,"27,965.10"
12.5,46.47,"28,644.20"
13.5,44.91,"28,023.70"
14.5,42.29,"26,970.30"
15.5,40.94,"27,070.00"
16.5,39.2,"26,081.50"
17.5,39.7,"24,367.70"
18.5,38.18,"23,427.00"
19.5,38.66,"23,002.20"
20.5,36.43,"22,630.60"
21.5,34.73,"21,777.10"
22.5,34.59,"20,369.10"
23.5,30.39,"19,243.90"
