06-Jan-18,Saturday,
Hours,Price [EUR/MWh],Volume [MWh]
0.5,29.45,"19,221.50"
1.5,28.55,"20,301.50"
2.5,28.18,"21,107.90"
3.5,27.33,"20,791.20"
4.5,27.08,"20,015.00"
5.5,28.7,"19,074.40"
6.5,30,"18,899.30"
7.5,31.36,"18,144.70"
8.5,34.19,"17,131.20"
9.5,41.11,"18,726.00"
10.5,44,"20,388.90"
11.5,43.74,"21,347.10"
12.5,44.01,"22,079.80"
13.5,42.9,"20,485.00"
14.5,38.7,"17,691.00"
15.5,37.4,"16,697.00"
16.5,40.52,"17,524.60"
17.5,45.46,"19,332.20"
18.5,49.98,"20,190.80"
19.5,45.9,"20,577.50"
20.5,40.9,"16,816.80"
21.5,33.69,"17,332.20"
22.5,36.26,"17,242.60"
23.5,29.03,"17,380.50"
