Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jun 21, 2017;12:00 AM;32.05;23.96;23.96;35.4;49.1;30.17;-;23.96;33.98;49.1;33.14;50.4
Jun 21, 2017;1:00 AM;31.94;23.25;23.25;33.03;47.49;31.19;-;23.25;35.33;47.49;31.82;46.43
Jun 21, 2017;2:00 AM;31.34;23.04;23.04;32.92;46.99;30.39;-;23.04;34.02;46.99;30.87;36.1
Jun 21, 2017;3:00 AM;30.87;22.92;22.92;30.87;44.16;30.87;-;22.92;33.02;44.16;30.18;33.15
Jun 21, 2017;4:00 AM;30.68;22.91;22.91;30.68;44;30.68;-;22.91;31.68;44;30.22;33.15
Jun 21, 2017;5:00 AM;30.92;24.17;24.17;30.92;44.16;30.92;-;24.17;31.07;44.16;32;41.87
Jun 21, 2017;6:00 AM;38.41;38.41;38.41;38.41;47.46;38.41;-;37.49;32.88;47.46;38.5;50.57
Jun 21, 2017;7:00 AM;44.02;44.02;44.02;44.02;54.31;44.02;-;42.96;38.52;54.31;47.52;58.15
Jun 21, 2017;8:00 AM;44.65;44.65;44.65;44.65;67.3;44.65;-;44.31;44.01;67.3;46.92;67.6
Jun 21, 2017;9:00 AM;43.24;43.24;43.24;49.45;63;43.24;-;43.24;45.33;56.01;44.29;66.25
Jun 21, 2017;10:00 AM;40.06;40.06;40.06;54.21;56.61;40.06;-;40.06;42.77;56.61;42.12;61.74
Jun 21, 2017;11:00 AM;39.54;39.54;39.54;49.1;58;44.51;-;39.54;40.72;58;40.93;59.1
Jun 21, 2017;12:00 PM;37.64;37.64;37.64;51.6;54.31;42.5;-;37.64;40.41;63;40.1;60.68
Jun 21, 2017;1:00 PM;36.09;36.09;36.09;52.66;58;49.9;-;36.09;38.18;58;38.75;58.73
Jun 21, 2017;2:00 PM;33.65;33.65;33.65;56.44;68;53;-;33.65;38.4;68;37.47;62.58
Jun 21, 2017;3:00 PM;34.69;34.69;34.69;55.92;76.19;51.18;-;34.69;38.17;76.19;39.92;71.99
Jun 21, 2017;4:00 PM;38.2;38.2;38.2;59.03;78.99;54.18;-;38.2;38.63;78.99;40.57;62.58
Jun 21, 2017;5:00 PM;45.64;45.64;45.64;45.64;75;45.64;-;32.86;40.08;75;44.99;62.58
Jun 21, 2017;6:00 PM;50.94;50.94;50.94;50.94;75;50.94;-;36.4;42.66;60;48.73;58.88
Jun 21, 2017;7:00 PM;56.95;56.95;56.95;56.95;80;56.95;-;38.75;44.48;60;53.01;61.54
Jun 21, 2017;8:00 PM;51.03;51.03;51.03;51.03;71.64;51.03;-;33.04;48.05;63.5;48.47;62.58
Jun 21, 2017;9:00 PM;45.44;45.44;45.44;45.44;70.9;45.44;-;40.64;45.44;70.9;47.39;64.76
Jun 21, 2017;10:00 PM;44.05;44.05;44.05;56.6;63.39;44.05;-;39.85;44.04;63.39;44.6;57.04
Jun 21, 2017;11:00 PM;36.68;36.68;36.68;53.4;54.31;35;-;32.97;43.31;54.31;38.9;48.06
Jun 22, 2017;12:00 AM;35.94;35.94;35.94;35.94;54.7;35.94;-;29.99;39.09;49;35.33;43.23
Jun 22, 2017;1:00 AM;34.45;34.45;34.45;35.79;49;34.45;-;27.85;35.44;49;34.31;42.59
Jun 22, 2017;2:00 AM;32.04;32.04;32.04;32.04;48.2;32.04;-;25.58;34.06;46.7;33.5;37.34
Jun 22, 2017;3:00 AM;30.96;30.96;30.96;30.96;47.46;30.96;-;25.01;33.59;42.6;32.69;32.69
Jun 22, 2017;4:00 AM;29.2;29.2;29.2;29.2;46.83;29.2;-;25.04;31.68;45.2;31;31
Jun 22, 2017;5:00 AM;30.2;30.2;30.2;30.2;46.81;30.2;-;29.47;31.22;44.86;32.5;33.07
Jun 22, 2017;6:00 AM;36.46;36.46;36.46;36.6;47.46;36.34;-;36.46;31.4;47.46;39.2;42.87
Jun 22, 2017;7:00 AM;42.39;42.39;42.39;42.39;54.7;42.39;-;42.39;39.14;54.7;46.4;57.7
Jun 22, 2017;8:00 AM;44.8;44.8;44.8;44.8;75.2;44.8;-;44.8;44.47;75.2;47.63;67.45
Jun 22, 2017;9:00 AM;40.88;40.88;40.88;49.98;77.07;48.3;-;40.88;45.71;77.07;43.77;67.89
Jun 22, 2017;10:00 AM;38.91;38.91;38.91;54.37;71;50.37;-;38.91;42.29;71;41.44;63.46
Jun 22, 2017;11:00 AM;37.15;37.15;37.15;55.94;71;53.41;-;37.15;38.91;71;40.12;64.63
Jun 22, 2017;12:00 PM;34.96;34.96;34.96;52.81;56.88;43.19;-;34.96;38.19;56.88;36.16;64.54
Jun 22, 2017;1:00 PM;31.71;31.71;31.71;52.95;57;42.6;-;31.71;36.87;57;45.99;64.57
Jun 22, 2017;2:00 PM;30.29;30.29;30.32;43.54;71;40;-;30.32;37.15;71;32.73;70.04
Jun 22, 2017;3:00 PM;30.37;30.37;30.37;42.45;71;33;-;30.37;37.52;53.15;45.99;72.5
Jun 22, 2017;4:00 PM;30.17;30.17;30.17;40.77;69.92;40.48;-;30.17;37.31;48.01;50.65;69.41
Jun 22, 2017;5:00 PM;37.43;37.43;37.43;41.25;69.24;42.4;-;37.43;36.97;51;57.49;69.63
Jun 22, 2017;6:00 PM;39.9;39.9;39.9;39.9;69.8;39.9;-;39.9;37.41;51;49.99;69.17
Jun 22, 2017;7:00 PM;41.91;41.91;41.91;41.91;79.5;41.91;-;40.9;38.04;79.5;68.08;68.08
Jun 22, 2017;8:00 PM;38.99;38.99;38.99;38.99;66;38.99;-;38.05;40.73;61.07;69.99;69.99
Jun 22, 2017;9:00 PM;37.56;37.56;37.56;37.56;64.48;37.56;-;37.56;39.11;62.21;45.99;68.54
Jun 22, 2017;10:00 PM;36.07;36.07;36.07;41.38;54.7;38.27;-;35.2;37.5;54.7;37.69;58.53
Jun 22, 2017;11:00 PM;30.95;30.95;30.95;41.27;49.38;30.95;-;30.23;36.55;49.38;32.61;54.02
Jun 23, 2017;12:00 AM;25.33;25.33;25.33;31.94;55;26.3;-;25.33;32.09;55;31.4;39.14
Jun 23, 2017;1:00 AM;23.55;23.55;23.55;33.3;51.59;27.02;-;23.55;31.35;51.59;34;34
Jun 23, 2017;2:00 AM;22.43;22.43;22.43;29.1;48.69;25.5;-;22.43;29.98;48.69;32.9;32.9
Jun 23, 2017;3:00 AM;21.41;21.41;21.41;28.11;47.99;27;-;21.41;29.08;47.99;29.53;33.05
Jun 23, 2017;4:00 AM;21.59;21.59;21.59;28.18;47.95;27;-;21.59;28.01;47.95;26.7;30.88
Jun 23, 2017;5:00 AM;23.34;23.34;23.34;28.73;47.46;25.92;-;23.34;27.03;47.46;26.7;33.05
Jun 23, 2017;6:00 AM;28.09;26.86;26.86;31.36;48.2;29.34;-;26.86;28.03;48.2;32.1;49.99
Jun 23, 2017;7:00 AM;36.26;36.26;36.26;36.26;55.65;36.26;-;31.02;31.62;55.65;38;57.11
Jun 23, 2017;8:00 AM;38.28;38.28;38.28;38.28;77.28;38.28;-;32.81;37.77;77.28;39.05;67.6
Jun 23, 2017;9:00 AM;34.09;34.09;34.09;39.49;74.49;42.4;-;33.27;38.38;74.49;38.7;67.8
Jun 23, 2017;10:00 AM;30.45;30.45;30.45;37.42;73.2;44;-;30.45;37.03;73.2;41.99;63.88
Jun 23, 2017;11:00 AM;29.05;29.05;29.05;37.37;73.4;41.86;-;29.05;38.16;73.4;35.9;67.02
Jun 23, 2017;12:00 PM;27.77;27.77;27.77;33.77;69.28;38.48;-;27.77;39;69.28;33.45;62.41
Jun 23, 2017;1:00 PM;26.1;26.1;26.1;34.55;69.28;31;-;26.1;38.59;69.28;29.9;59.08
Jun 23, 2017;2:00 PM;25.07;25.07;25.07;35.9;70;33.41;-;25.07;39.03;70;27.36;64.48
Jun 23, 2017;3:00 PM;24.98;24.98;24.98;34.55;69.28;29.31;-;24.98;38.03;69.28;28.08;60.02
Jun 23, 2017;4:00 PM;25.01;25.01;25.01;34.07;76.8;27.07;-;25.01;37.58;76.8;40;55.09
