Date		Time of day	Germany/Austria/Luxembourg[Euro/MWh]	Denmark 1[Euro/MWh]	Denmark 2[Euro/MWh]	France[Euro/MWh]	Northern Italy[Euro/MWh]	Netherlands[Euro/MWh]	Poland[Euro/MWh]	Sweden 4[Euro/MWh]	Switzerland[Euro/MWh]	Slovenia[Euro/MWh]	Czech Republic[Euro/MWh]	Hungary[Euro/MWh]
21-Dec	2017	12:00 AM	33.09	27.57	27.57	62.07	-	33.09	-	27.57	55.07	33.09	35.5	35.5
21-Dec	2017	1:00 AM	35.26	27.08	27.08	53.6	-	35.26	-	27.08	54.06	35.26	33.5	33.5
21-Dec	2017	2:00 AM	31.88	26.98	26.98	51	-	31.88	-	26.98	54	31.88	32.15	32.15
21-Dec	2017	3:00 AM	33.04	26.95	26.95	45.44	-	33.04	-	26.95	52.85	33.04	32.5	32.5
21-Dec	2017	4:00 AM	33.6	27.37	27.37	44.55	-	33.6	-	27.37	52.85	33.6	33.29	33.29
21-Dec	2017	5:00 AM	35.05	28	28	50.84	-	35.05	-	28	54.7	35.05	35.3	35.3
21-Dec	2017	6:00 AM	35.19	29.42	29.42	57.51	-	38.86	-	29.42	62.4	43.8	42	43.18
21-Dec	2017	7:00 AM	45.94	35.62	42.49	70.19	-	48.92	-	42.49	68.7	71.69	55.2	63.85
21-Dec	2017	8:00 AM	49.9	35.75	42.06	70.91	-	63	-	42.06	69.16	85.85	56.13	84.52
21-Dec	2017	9:00 AM	50	40.43	45.1	71.35	-	67.61	-	45.1	69.11	83	55.53	62.62
21-Dec	2017	10:00 AM	51.03	43.62	43.62	70.97	-	69.58	-	30.1	69.07	59.91	55.65	58.94
21-Dec	2017	11:00 AM	54.48	36.17	36.17	70.5	-	66.81	-	30.2	68.62	59.91	56.31	59.86
21-Dec	2017	12:00 PM	55.96	33.26	33.26	68.71	-	65.11	-	30.14	66.38	65.11	56.36	57.47
21-Dec	2017	1:00 PM	49.99	30.63	30.63	69.75	-	52.55	-	30.11	67.66	57.42	53.7	53.7
21-Dec	2017	2:00 PM	46.15	36.26	38.63	70.62	-	51.22	-	38.63	68.09	65	51.15	53.45
21-Dec	2017	3:00 PM	46.86	36.11	41.04	70.69	-	57.73	-	41.04	69.03	68.31	51.28	60.69
21-Dec	2017	4:00 PM	51.93	36.47	41.07	70.9	-	55.35	-	41.07	69.05	80.15	53.9	82.53
21-Dec	2017	5:00 PM	50.95	38.47	42.42	71.69	-	71.19	-	42.42	69.14	80.15	60.46	79.27
21-Dec	2017	6:00 PM	51.03	37.63	38.6	73.66	-	70	-	38.6	70.85	75.29	54.8	64.32
21-Dec	2017	7:00 PM	46.02	30.06	30.06	75.72	-	50.09	-	30.06	70.12	53.99	51.34	51.34
21-Dec	2017	8:00 PM	35.83	29.55	29.55	73.04	-	41.23	-	29.55	67.57	45.9	45.99	45.99
21-Dec	2017	9:00 PM	36.26	29.17	29.17	66.01	-	39.63	-	29.17	62.44	36.26	40.18	40.18
21-Dec	2017	10:00 PM	38.72	28.06	28.06	57.17	-	56.76	-	28.06	61.71	38.72	38.74	38.74
21-Dec	2017	11:00 PM	34.84	27.32	27.32	52.79	-	52.42	-	27.32	55.97	34.84	32.01	32.01
22-Dec	2017	12:00 AM	27.76	27.1	27.1	43	-	43	-	27.1	51.58	27.76	31.01	31.66
22-Dec	2017	1:00 AM	26.45	26.45	26.45	41.7	-	41.7	-	26.45	49.16	26.45	29.88	29.88
22-Dec	2017	2:00 AM	26.2	26.2	26.2	39.47	-	39.47	-	26.2	47.51	26.2	28	28
22-Dec	2017	3:00 AM	26.36	26.36	26.36	35.68	-	35.68	-	26.36	47.08	26.36	27.81	27.81
22-Dec	2017	4:00 AM	27.59	26.92	26.92	27.81	-	27.81	-	26.92	47.08	27.59	28.01	28.01
22-Dec	2017	5:00 AM	31.93	27.54	27.54	36.1	-	36.1	-	27.54	49	31.93	30.74	30.74
22-Dec	2017	6:00 AM	38.61	28.75	28.75	44.48	-	44.48	-	28.75	58.67	38.61	38.46	38.46
22-Dec	2017	7:00 AM	47.52	30.06	30.06	65.12	-	47.52	-	30.06	64.63	47.52	47.01	47.01
22-Dec	2017	8:00 AM	48	30.81	30.81	67.58	-	48	-	30.81	65.04	48	51	52.46
22-Dec	2017	9:00 AM	50	30.69	30.69	67.84	-	50	-	30.69	64.78	50	51.01	51.04
22-Dec	2017	10:00 AM	48.99	30.63	30.63	68.23	-	48.99	-	30.63	65.04	48.99	49.04	49.04
