ticker;value
0;596.2
1;596.68
2;596.004
3;595.996
4;570.012
5;539.212
6;520.304
7;515.82
8;597.116
9;597.216
10;597.416
11;596.816
12;597.404
13;596.82
14;597.404
15;562.924
16;491.72
17;491.692
18;491.612
19;491.524
20;491.824
21;491.532
22;491.64
23;491.756
24;491.532
25;491.804
26;491.64
27;491.744
28;491.832
29;491.736
30;491.932
31;492.14
32;491.932
33;492.236
34;492.036
35;492.216
36;492.296
37;492.332
38;492.42
39;492.42
40;492.612
41;492.72
42;526.292
43;622.912
44;598.804
45;597.8
46;597.8
47;597.384
48;596.904
49;598.692
50;597.552
51;596.66
52;596.352
53;595.036
54;594.824
55;594.74
56;595.02
57;596.044
58;594.94
59;594.416
60;594.684
61;593.488
62;595.016
63;594.116
64;595.116
65;595.76
66;594.956
67;594.396
68;594.556
69;594.92
70;594.996
71;594.384
72;593.356
73;594.772
74;595.344
75;595.06
76;594.372
77;592.952
78;593.772
79;593.892
80;594.964
81;596.176
82;596.272
83;593.8
84;595.364
85;597.892
86;594.38
87;595.692
88;598.404
89;597.976
90;598.304
91;597.692
92;598.292
93;598.092
94;597.7
95;597.584
