ticker;value
0;875
1;1125.00
2;975
3;850
4;625
5;400
6;400
7;1100.00
8;1400.00
9;900
10;1825.00
11;1850.00
12;2050.00
13;1900.00
14;1425.00
15;1325.00
16;1525.00
17;1975.00
18;2375.00
19;1925.00
20;1850.00
21;2000.00
22;2225.00
23;1775.00
24;2675.00
25;2850.00
26;2525.00
27;2800.00
28;3125.00
29;2475.00
30;2975.00
31;3050.00
32;4300.00
33;4700.00
34;4850.00
35;4150.00
36;3400.00
37;2725.00
38;2700.00
39;2350.00
40;1625.00
41;2000.00
42;2350.00
43;2550.00
44;2350.00
45;2050.00
46;1725.00
47;1400.00
48;1800.00
49;2450.00
50;3000.00
51;4750.00
52;4325.00
53;4025.00
54;3250.00
55;2625.00
56;2650.00
57;3050.00
58;3575.00
59;2850.00
60;2375.00
61;1825.00
62;1575.00
63;1150.00
64;1250.00
65;1375.00
66;1875.00
67;2300.00
68;2025.00
69;1425.00
70;1350.00
71;1300.00
72;1525.00
73;1700.00
74;2550.00
75;2825.00
76;2450.00
77;2325.00
78;2325.00
79;2675.00
80;2600.00
81;2600.00
82;3225.00
83;2625.00
84;2825.00
85;2825.00
86;2475.00
87;2850.00
88;3075.00
89;3050.00
90;3050.00
91;2525.00
92;2175.00
93;1800.00
94;2200.00
95;2225.00
